TLIST(Q1),VALUE
2015Q1,290.0
2015Q2,303.0
2015Q3,316.0
2015Q4,329.0
2016Q1,340.0
2016Q2,360.0
2016Q3,385.0
2016Q4,395.0
2017Q1,406.0
2017Q2,433.0
2017Q3,449.0
2017Q4,472.0
2018Q1,490.0
2018Q2,526.0
2018Q3,573.0
2018Q4,591.0
2019Q1,578.0
2019Q2,600.0
2019Q3,638.0
2019Q4,672.0
2020Q1,690.0
2020Q2,721.0
2020Q3,765.0
2020Q4,851.0
2021Q1,921.0
2021Q2,986.0
2021Q3,1035.0
2021Q4,1068.0
2022Q1,1194.0
2022Q2,1286.0
2022Q3,1335.0
2022Q4,1456.0
2023Q1,1496.0
2023Q2,1553.0
2023Q3,1625.0
2023Q4,1662.0
2024Q1,1657.0
2024Q2,1691.0
2024Q3,1792.0
2024Q4,1829.0
